treatment	plant_species	replicate	sowing_date	germ_date	germ_time
Control	D18	17	4/13/2023	4/17/2023	4
Control	D19	18	4/13/2023	4/18/2023	5
Control	D20	19	4/13/2023	4/17/2023	4
Control	D21	20	4/13/2023	4/20/2023	7
Control	D22	21	4/13/2023	4/20/2023	7
Control	D23	22	4/13/2023	4/18/2023	5
Control	D24	23	4/13/2023	4/17/2023	4
Control	D25	24	4/13/2023	4/17/2023	4
Control	D26	25	4/13/2023	4/17/2023	4
Control	D27	26	4/13/2023	4/17/2023	4
Control	D28	27	4/13/2023	4/17/2023	4
Control	D29	28	4/13/2023	4/17/2023	4
Control	D30	29	4/13/2023	4/19/2023	6
Control	E1	1	4/13/2023	4/19/2023	6
Control	E2	2	4/13/2023	4/20/2023	7
Control	E4	3	4/13/2023	4/18/2023	5
Control	E5	4	4/13/2023	4/19/2023	6
Control	E6	5	4/13/2023	4/19/2023	6
Control	E7	6	4/13/2023	4/20/2023	7
Control	E8	7	4/13/2023	4/19/2023	6
Control	E9	8	4/13/2023	4/18/2023	5
Control	E10	9	4/13/2023	4/19/2023	6
Control	E11	10	4/13/2023	4/19/2023	6
Control	E12	11	4/13/2023	4/19/2023	6
Control	E13	12	4/13/2023	4/20/2023	7
Control	E14	13	4/13/2023	4/19/2023	6
Control	E15	14	4/13/2023	4/20/2023	7
Control	E16	15	4/13/2023	4/19/2023	6
Control	E17	16	4/13/2023	4/20/2023	7
Control	E18	17	4/13/2023	4/20/2023	7
Control	E19	18	4/13/2023	4/20/2023	7
Control	E20	19	4/13/2023	4/20/2023	7
Control	E21	20	4/13/2023	4/20/2023	7
Control	E22	21	4/13/2023	4/19/2023	6
Control	E23	22	4/13/2023	4/20/2023	7
Control	E24	23	4/13/2023	4/21/2023	8
Control	E26	24	4/13/2023	4/19/2023	6
Control	E27	25	4/13/2023	4/20/2023	7
Control	E28	26	4/13/2023	4/20/2023	7
Control	E30	27	4/13/2023	4/19/2023	6
Control	F1	1	4/13/2023	4/16/2023	3
Control	F2	2	4/13/2023	4/16/2023	3
Control	F3	3	4/13/2023	4/18/2023	5
Control	F5	4	4/13/2023	4/21/2023	8
Control	F6	5	4/13/2023	4/16/2023	3
Control	F7	6	4/13/2023	4/16/2023	3
Control	F8	7	4/13/2023	4/16/2023	3
Control	F9	8	4/13/2023	4/16/2023	3
Control	F10	9	4/13/2023	4/17/2023	4
Control	F11	10	4/13/2023	4/16/2023	3
Control	F12	11	4/13/2023	4/16/2023	3
Control	F13	12	4/13/2023	4/16/2023	3
Control	F14	13	4/13/2023	4/16/2023	3
Control	F16	14	4/13/2023	4/20/2023	7
Control	F17	15	4/13/2023	4/17/2023	4
Control	F18	16	4/13/2023	4/16/2023	3
Control	F19	17	4/13/2023	4/16/2023	3
Control	F20	18	4/13/2023	4/17/2023	4
Control	F21	19	4/13/2023	4/17/2023	4
Control	F22	20	4/13/2023	4/16/2023	3
Control	F23	21	4/13/2023	4/17/2023	4
Control	F24	22	4/13/2023	4/16/2023	3
Control	F25	23	4/13/2023	4/18/2023	5
Control	F26	24	4/13/2023	4/17/2023	4
Control	F27	25	4/13/2023	4/16/2023	3
Control	F28	26	4/13/2023	4/16/2023	3
Control	F30	27	4/13/2023	4/22/2023	9
Control	G1	1	4/13/2023	4/21/2023	8
Control	G2	2	4/13/2023	4/21/2023	8
Control	G3	3	4/13/2023	4/21/2023	8
Control	G4	4	4/13/2023	4/20/2023	7
Control	G5	5	4/13/2023	4/20/2023	7
Control	G7	6	4/13/2023	4/19/2023	6
Control	G8	7	4/13/2023	4/18/2023	5
Control	G10	8	4/13/2023	4/17/2023	4
Control	G12	9	4/13/2023	4/18/2023	5
Control	G13	10	4/13/2023	4/19/2023	6
Control	G14	11	4/13/2023	4/18/2023	5
Control	G15	12	4/13/2023	4/21/2023	8
Control	G16	13	4/13/2023	4/19/2023	6
Control	G18	14	4/13/2023	4/20/2023	7
Control	G19	15	4/13/2023	4/19/2023	6
Control	G21	16	4/13/2023	4/19/2023	6
Control	G22	17	4/13/2023	4/18/2023	5
Control	G23	18	4/13/2023	4/20/2023	7
Control	G24	19	4/13/2023	4/22/2023	9
Control	G25	20	4/13/2023	4/18/2023	5
Control	G27	21	4/13/2023	4/21/2023	8
Control	G28	22	4/13/2023	4/18/2023	5
Control	G29	23	4/13/2023	4/20/2023	7
Control	G30	24	4/13/2023	4/19/2023	6
Control	H1	1	4/13/2023	4/17/2023	4
Control	H2	2	4/13/2023	4/16/2023	3
Control	H4	3	4/13/2023	4/17/2023	4
Control	H5	4	4/13/2023	4/17/2023	4
Control	H6	5	4/13/2023	4/17/2023	4
Control	H7	6	4/13/2023	4/17/2023	4
Control	H8	7	4/13/2023	4/20/2023	7
Control	H9	8	4/13/2023	4/17/2023	4
Control	H10	9	4/13/2023	4/20/2023	7
Control	H11	10	4/13/2023	4/17/2023	4
Control	H12	11	4/13/2023	4/17/2023	4
Control	H14	12	4/13/2023	4/17/2023	4
Control	H15	13	4/13/2023	4/17/2023	4
Control	H16	14	4/13/2023	4/18/2023	5
Control	H17	15	4/13/2023	4/17/2023	4
Control	H18	16	4/13/2023	4/17/2023	4
Control	H19	17	4/13/2023	4/17/2023	4
Control	H20	18	4/13/2023	4/19/2023	6
Control	H21	19	4/13/2023	4/16/2023	3
Control	H22	20	4/13/2023	4/16/2023	3
Control	H23	21	4/13/2023	4/17/2023	4
Control	H25	22	4/13/2023	4/17/2023	4
Control	H26	23	4/13/2023	4/17/2023	4
Control	H27	24	4/13/2023	4/17/2023	4
Control	H28	25	4/13/2023	4/17/2023	4
Control	H29	26	4/13/2023	4/17/2023	4
Control	I1	1	4/13/2023	4/17/2023	4
Control	I2	2	4/13/2023	4/17/2023	4
Control	I3	3	4/13/2023	4/18/2023	5
Control	I5	4	4/13/2023	4/18/2023	5
Control	I6	5	4/13/2023	4/16/2023	3
Control	I7	6	4/13/2023	4/17/2023	4
Control	I8	7	4/13/2023	4/17/2023	4
Control	I10	8	4/13/2023	4/17/2023	4
Control	I11	9	4/13/2023	4/17/2023	4
Control	I13	10	4/13/2023	4/16/2023	3
Control	I14	11	4/13/2023	4/17/2023	4
Control	I15	12	4/13/2023	4/17/2023	4
Control	I16	13	4/13/2023	4/17/2023	4
Control	I17	14	4/13/2023	4/17/2023	4
Control	I18	15	4/13/2023	4/17/2023	4
Control	I20	16	4/13/2023	4/18/2023	5
Control	I21	17	4/13/2023	4/17/2023	4
Control	I23	18	4/13/2023	4/17/2023	4
Control	I24	19	4/13/2023	4/17/2023	4
Control	I25	20	4/13/2023	4/18/2023	5
Control	I26	21	4/13/2023	4/17/2023	4
Control	I27	22	4/13/2023	4/18/2023	5
Control	I29	23	4/13/2023	4/17/2023	4
Control	I30	24	4/13/2023	4/17/2023	4
Control	J1	1	4/13/2023	4/22/2023	9
Control	J2	2	4/13/2023	4/20/2023	7
Control	J3	3	4/13/2023	4/20/2023	7
Control	J4	4	4/13/2023	4/20/2023	7
Control	J5	5	4/13/2023	4/22/2023	9
Control	J6	6	4/13/2023	4/21/2023	8
Control	J7	7	4/13/2023	4/19/2023	6
Control	J8	8	4/13/2023	4/19/2023	6
Control	J9	9	4/13/2023	4/20/2023	7
Control	J11	10	4/13/2023	4/22/2023	9
Control	J12	11	4/13/2023	4/19/2023	6
Control	J13	12	4/13/2023	4/19/2023	6
Control	J14	13	4/13/2023	4/20/2023	7
Control	J15	14	4/13/2023	4/20/2023	7
Control	J17	15	4/13/2023	4/20/2023	7
Control	J20	16	4/13/2023	4/21/2023	8
Control	J22	17	4/13/2023	4/20/2023	7
Control	J23	18	4/13/2023	4/20/2023	7
Control	J24	19	4/13/2023	4/20/2023	7
Control	J25	20	4/13/2023	4/20/2023	7
Control	J27	21	4/13/2023	4/24/2023	11
Control	J28	22	4/13/2023	4/20/2023	7
Control	J29	23	4/13/2023	4/21/2023	8
Control	J30	24	4/13/2023	4/20/2023	7
Control	K1	1	4/13/2023	4/21/2023	8
Control	K3	2	4/13/2023	4/23/2023	10
Control	K5	3	4/13/2023	4/22/2023	9
Control	K7	4	4/13/2023	4/29/2023	16
Control	K9	5	4/13/2023	4/21/2023	8
Control	K11	6	4/13/2023	4/21/2023	8
Control	K12	7	4/13/2023	4/21/2023	8
Control	K13	8	4/13/2023	4/22/2023	9
Control	K15	9	4/13/2023	4/29/2023	16
Control	K19	10	4/13/2023	4/22/2023	9
Control	K20	11	4/13/2023	4/22/2023	9
Control	K23	12	4/13/2023	4/21/2023	8
Control	K24	13	4/13/2023	4/24/2023	11
Control	K25	14	4/13/2023	4/25/2023	12
Control	K26	15	4/13/2023	4/21/2023	8
Control	K27	16	4/13/2023	4/22/2023	9
Control	K30	17	4/13/2023	4/26/2023	13
Control	L1	1	4/13/2023	4/18/2023	5
Control	L2	2	4/13/2023	4/17/2023	4
Control	L3	3	4/13/2023	4/18/2023	5
Control	L4	4	4/13/2023	4/17/2023	4
Control	L5	5	4/13/2023	4/17/2023	4
Control	L6	6	4/13/2023	4/17/2023	4
Control	L7	7	4/13/2023	4/18/2023	5
Control	L8	8	4/13/2023	4/20/2023	7
Control	L9	9	4/13/2023	4/19/2023	6
Control	L11	10	4/13/2023	4/17/2023	4
Control	L14	11	4/13/2023	4/18/2023	5
Control	L15	12	4/13/2023	4/17/2023	4
Control	L16	13	4/13/2023	4/17/2023	4
Control	L17	14	4/13/2023	4/17/2023	4
Control	L18	15	4/13/2023	4/18/2023	5
Control	L20	16	4/13/2023	4/18/2023	5
Control	L23	17	4/13/2023	4/19/2023	6
Control	L25	18	4/13/2023	4/21/2023	8
Control	L27	19	4/13/2023	4/17/2023	4
Control	L29	20	4/13/2023	4/19/2023	6
Control	M1	1	4/13/2023	4/19/2023	6
Control	M2	2	4/13/2023	4/17/2023	4
Control	M4	3	4/13/2023	4/17/2023	4
Control	M5	4	4/13/2023	4/18/2023	5
Control	M6	5	4/13/2023	4/17/2023	4
Control	M7	6	4/13/2023	4/16/2023	3
Control	M8	7	4/13/2023	4/17/2023	4
Control	M9	8	4/13/2023	4/16/2023	3
Control	M11	9	4/13/2023	4/18/2023	5
Control	M12	10	4/13/2023	4/16/2023	3
Control	M13	11	4/13/2023	4/22/2023	9
Control	M14	12	4/13/2023	4/21/2023	8
Control	M16	13	4/13/2023	4/16/2023	3
Control	M17	14	4/13/2023	4/16/2023	3
Control	M19	15	4/13/2023	4/18/2023	5
Control	M22	16	4/13/2023	4/16/2023	3
Control	M23	17	4/13/2023	4/16/2023	3
Control	M25	18	4/13/2023	4/16/2023	3
Control	M26	19	4/13/2023	4/19/2023	6
Control	M27	20	4/13/2023	4/17/2023	4
Control	M28	21	4/13/2023	4/20/2023	7
Control	M30	22	4/13/2023	4/20/2023	7
Control	N3	1	4/13/2023	4/17/2023	4
Control	N5	2	4/13/2023	4/16/2023	3
Control	N8	3	4/13/2023	4/18/2023	5
Control	N10	4	4/13/2023	4/17/2023	4
Control	N13	5	4/13/2023	4/17/2023	4
Control	N15	6	4/13/2023	4/20/2023	7
Control	N16	7	4/13/2023	4/17/2023	4
Control	N17	8	4/13/2023	4/17/2023	4
Control	N19	9	4/13/2023	4/16/2023	3
Control	N20	10	4/13/2023	4/17/2023	4
Control	N21	11	4/13/2023	4/18/2023	5
Control	N22	12	4/13/2023	4/18/2023	5
Control	N24	13	4/13/2023	4/17/2023	4
Control	N27	14	4/13/2023	4/16/2023	3
Control	N29	15	4/13/2023	4/18/2023	5
Control	N30	16	4/13/2023	4/17/2023	4
Control	O1	1	4/13/2023	4/19/2023	6
Control	O2	2	4/13/2023	4/19/2023	6
Control	O3	3	4/13/2023	4/16/2023	3
Control	O4	4	4/13/2023	4/18/2023	5
Control	O5	5	4/13/2023	4/18/2023	5
Control	O6	6	4/13/2023	4/18/2023	5
Control	O7	7	4/13/2023	4/18/2023	5
Control	O8	8	4/13/2023	4/20/2023	7
Control	O10	9	4/13/2023	4/19/2023	6
Control	O11	10	4/13/2023	4/19/2023	6
Control	O13	11	4/13/2023	4/18/2023	5
Control	O14	12	4/13/2023	4/19/2023	6
Control	O15	13	4/13/2023	4/21/2023	8
Control	O16	14	4/13/2023	4/18/2023	5
Control	O17	15	4/13/2023	4/19/2023	6
Control	O18	16	4/13/2023	4/18/2023	5
Control	O19	17	4/13/2023	4/18/2023	5
Control	O20	18	4/13/2023	4/18/2023	5
Control	O21	19	4/13/2023	4/18/2023	5
Control	O22	20	4/13/2023	4/18/2023	5
Control	O23	21	4/13/2023	4/18/2023	5
Control	O24	22	4/13/2023	4/19/2023	6
Control	O25	23	4/13/2023	4/18/2023	5
Control	O26	24	4/13/2023	4/18/2023	5
Control	O28	25	4/13/2023	4/20/2023	7
Control	O29	26	4/13/2023	4/19/2023	6
Control	O30	27	4/13/2023	4/20/2023	7
Control	P1	1	4/13/2023	4/18/2023	5
Control	P2	2	4/13/2023	4/18/2023	5
Control	P4	3	4/13/2023	4/18/2023	5
Control	P5	4	4/13/2023	4/17/2023	4
Control	P6	5	4/13/2023	4/18/2023	5
Control	P7	6	4/13/2023	4/18/2023	5
Control	P9	7	4/13/2023	4/17/2023	4
Control	P11	8	4/13/2023	4/18/2023	5
Control	P12	9	4/13/2023	4/18/2023	5
Control	P13	10	4/13/2023	4/18/2023	5
Control	P15	11	4/13/2023	4/17/2023	4
Control	P16	12	4/13/2023	4/17/2023	4
Control	P17	13	4/13/2023	4/17/2023	4
Control	P18	14	4/13/2023	4/18/2023	5
Control	P19	15	4/13/2023	4/17/2023	4
Control	P20	16	4/13/2023	4/18/2023	5
Control	P21	17	4/13/2023	4/18/2023	5
Control	P23	18	4/13/2023	4/18/2023	5
Control	P25	19	4/13/2023	4/18/2023	5
Control	P26	20	4/13/2023	4/18/2023	5
Control	P27	21	4/13/2023	4/17/2023	4
Control	P28	22	4/13/2023	4/17/2023	4
Control	P29	23	4/13/2023	4/18/2023	5
Control	P30	24	4/13/2023	4/21/2023	8
Control	Q1	1	4/13/2023	4/19/2023	6
Control	Q2	2	4/13/2023	4/19/2023	6
Control	Q3	3	4/13/2023	4/18/2023	5
Control	Q5	4	4/13/2023	4/18/2023	5
Control	Q7	5	4/13/2023	4/18/2023	5
Control	Q9	6	4/13/2023	4/18/2023	5
Control	Q11	7	4/13/2023	4/18/2023	5
Control	Q13	8	4/13/2023	4/19/2023	6
Control	Q15	9	4/13/2023	4/19/2023	6
Control	Q16	10	4/13/2023	4/20/2023	7
Control	Q17	11	4/13/2023	4/19/2023	6
Control	Q18	12	4/13/2023	4/19/2023	6
Control	Q19	13	4/13/2023	4/18/2023	5
Control	Q20	14	4/13/2023	4/19/2023	6
Control	Q23	15	4/13/2023	4/19/2023	6
Control	Q25	16	4/13/2023	4/18/2023	5
Control	Q27	17	4/13/2023	4/20/2023	7
Control	Q28	18	4/13/2023	4/21/2023	8
Control	Q29	19	4/13/2023	4/18/2023	5
Control	Q30	20	4/13/2023	4/21/2023	8
Control	R1	1	4/13/2023	4/17/2023	4
Control	R2	2	4/13/2023	4/17/2023	4
Control	R3	3	4/13/2023	4/17/2023	4
Control	R4	4	4/13/2023	4/16/2023	3
Control	R5	5	4/13/2023	4/16/2023	3
Control	R7	6	4/13/2023	4/17/2023	4
Control	R8	7	4/13/2023	4/17/2023	4
Control	R9	8	4/13/2023	4/17/2023	4
Control	R10	9	4/13/2023	4/17/2023	4
Control	R11	10	4/13/2023	4/17/2023	4
Control	R12	11	4/13/2023	4/16/2023	3
Control	R13	12	4/13/2023	4/17/2023	4
Control	R14	13	4/13/2023	4/22/2023	9
Control	R15	14	4/13/2023	4/16/2023	3
Control	R16	15	4/13/2023	4/17/2023	4
Control	R17	16	4/13/2023	4/17/2023	4
Control	R18	17	4/13/2023	4/16/2023	3
Control	R19	18	4/13/2023	4/17/2023	4
Control	R20	19	4/13/2023	4/16/2023	3
Control	R21	20	4/13/2023	4/16/2023	3
Control	R22	21	4/13/2023	4/16/2023	3
Control	R23	22	4/13/2023	4/17/2023	4
Control	R24	23	4/13/2023	4/16/2023	3
Control	R25	24	4/13/2023	4/16/2023	3
Control	R26	25	4/13/2023	4/17/2023	4
Control	R28	26	4/13/2023	4/17/2023	4
Control	R29	27	4/13/2023	4/16/2023	3
Control	R30	28	4/13/2023	4/17/2023	4
Control	S2	1	4/13/2023	4/18/2023	5
Control	S3	2	4/13/2023	4/19/2023	6
Control	S4	3	4/13/2023	4/18/2023	5
Control	S5	4	4/13/2023	4/18/2023	5
Control	S7	5	4/13/2023	4/18/2023	5
Control	S8	6	4/13/2023	4/17/2023	4
Control	S10	7	4/13/2023	4/17/2023	4
Control	S13	8	4/13/2023	4/17/2023	4
Control	S14	9	4/13/2023	4/17/2023	4
Control	S15	10	4/13/2023	4/17/2023	4
Control	S16	11	4/13/2023	4/17/2023	4
Control	S18	12	4/13/2023	4/18/2023	5
Control	S19	13	4/13/2023	4/16/2023	3
Control	S20	14	4/13/2023	4/16/2023	3
Control	S22	15	4/13/2023	4/17/2023	4
Control	S23	16	4/13/2023	4/18/2023	5
Control	S24	17	4/13/2023	4/16/2023	3
Control	S25	18	4/13/2023	4/17/2023	4
Control	S27	19	4/13/2023	4/17/2023	4
Control	S28	20	4/13/2023	4/17/2023	4
Control	S29	21	4/13/2023	4/17/2023	4
Control	S30	22	4/13/2023	4/17/2023	4
Control	T1	1	4/13/2023	4/17/2023	4
Control	T3	2	4/13/2023	4/17/2023	4
Control	T4	3	4/13/2023	4/18/2023	5
Control	T5	4	4/13/2023	4/17/2023	4
Control	T6	5	4/13/2023	4/17/2023	4
Control	T7	6	4/13/2023	4/18/2023	5
Control	T8	7	4/13/2023	4/18/2023	5
Control	T10	8	4/13/2023	4/18/2023	5
Control	T11	9	4/13/2023	4/17/2023	4
Control	T12	10	4/13/2023	4/18/2023	5
Control	T13	11	4/13/2023	4/18/2023	5
Control	T14	12	4/13/2023	4/21/2023	8
Control	T15	13	4/13/2023	4/18/2023	5
Control	T16	14	4/13/2023	4/18/2023	5
Control	T17	15	4/13/2023	4/18/2023	5
Control	T18	16	4/13/2023	4/18/2023	5
Control	T19	17	4/13/2023	4/18/2023	5
Control	T20	18	4/13/2023	4/18/2023	5
Control	T21	19	4/13/2023	4/18/2023	5
Control	T24	20	4/13/2023	4/18/2023	5
Control	T25	21	4/13/2023	4/17/2023	4
Control	T26	22	4/13/2023	4/19/2023	6
Control	T28	23	4/13/2023	4/20/2023	7
Control	T29	24	4/13/2023	4/17/2023	4
Control	T30	25	4/13/2023	4/17/2023	4
Control	U2	1	4/13/2023	4/16/2023	3
Control	U3	2	4/13/2023	4/17/2023	4
Control	U5	3	4/13/2023	4/19/2023	6
Control	U6	4	4/13/2023	4/25/2023	12
Control	U7	5	4/13/2023	4/17/2023	4
Control	U8	6	4/13/2023	4/17/2023	4
Control	U9	7	4/13/2023	4/17/2023	4
Control	U10	8	4/13/2023	4/21/2023	8
Control	U13	9	4/13/2023	4/21/2023	8
Control	U14	10	4/13/2023	4/21/2023	8
Control	U17	11	4/13/2023	4/20/2023	7
Control	U22	12	4/13/2023	4/22/2023	9
Control	U23	13	4/13/2023	4/22/2023	9
Control	U28	14	4/13/2023	4/25/2023	12
Control	U29	15	4/13/2023	4/25/2023	12
BSFfrass	A1	1	4/13/2023	4/19/2023	6
BSFfrass	A2	2	4/13/2023	4/20/2023	7
BSFfrass	A5	3	4/13/2023	4/21/2023	8
BSFfrass	A11	4	4/13/2023	4/22/2023	9
BSFfrass	A14	5	4/13/2023	4/20/2023	7
BSFfrass	A20	6	4/13/2023	4/21/2023	8
BSFfrass	A23	7	4/13/2023	4/22/2023	9
BSFfrass	A25	8	4/13/2023	4/22/2023	9
BSFfrass	B1	1	4/13/2023	4/20/2023	7
BSFfrass	B2	2	4/13/2023	4/20/2023	7
BSFfrass	B3	3	4/13/2023	4/20/2023	7
BSFfrass	B7	4	4/13/2023	4/20/2023	7
BSFfrass	B8	5	4/13/2023	4/20/2023	7
BSFfrass	B9	6	4/13/2023	4/21/2023	8
BSFfrass	B10	7	4/13/2023	4/28/2023	15
BSFfrass	B12	8	4/13/2023	4/25/2023	12
BSFfrass	B13	9	4/13/2023	4/29/2023	16
BSFfrass	B15	10	4/13/2023	4/19/2023	6
BSFfrass	B16	11	4/13/2023	4/21/2023	8
BSFfrass	B18	12	4/13/2023	4/20/2023	7
BSFfrass	B20	13	4/13/2023	4/20/2023	7
BSFfrass	B22	14	4/13/2023	4/20/2023	7
BSFfrass	B23	15	4/13/2023	4/20/2023	7
BSFfrass	B24	16	4/13/2023	4/20/2023	7
BSFfrass	B28	17	4/13/2023	4/25/2023	12
BSFfrass	B30	18	4/13/2023	4/25/2023	12
BSFfrass	C1	1	4/13/2023	4/18/2023	5
BSFfrass	C2	2	4/13/2023	4/18/2023	5
BSFfrass	C3	3	4/13/2023	4/17/2023	4
BSFfrass	C4	4	4/13/2023	4/18/2023	5
BSFfrass	C5	5	4/13/2023	4/18/2023	5
BSFfrass	C6	6	4/13/2023	4/18/2023	5
BSFfrass	C7	7	4/13/2023	4/18/2023	5
BSFfrass	C8	8	4/13/2023	4/18/2023	5
BSFfrass	C9	9	4/13/2023	4/21/2023	8
BSFfrass	C10	10	4/13/2023	4/18/2023	5
BSFfrass	C11	11	4/13/2023	4/17/2023	4
BSFfrass	C13	12	4/13/2023	4/18/2023	5
BSFfrass	C14	13	4/13/2023	4/18/2023	5
BSFfrass	C15	14	4/13/2023	4/18/2023	5
BSFfrass	C16	15	4/13/2023	4/18/2023	5
BSFfrass	C17	16	4/13/2023	4/19/2023	6
BSFfrass	C18	17	4/13/2023	4/17/2023	4
BSFfrass	C19	18	4/13/2023	4/17/2023	4
BSFfrass	C20	19	4/13/2023	4/18/2023	5
BSFfrass	C21	20	4/13/2023	4/22/2023	9
BSFfrass	C23	21	4/13/2023	4/17/2023	4
BSFfrass	C24	22	4/13/2023	4/17/2023	4
BSFfrass	C25	23	4/13/2023	4/18/2023	5
BSFfrass	C26	24	4/13/2023	4/17/2023	4
BSFfrass	C27	25	4/13/2023	4/17/2023	4
BSFfrass	C28	26	4/13/2023	4/18/2023	5
BSFfrass	C29	27	4/13/2023	4/20/2023	7
BSFfrass	C30	28	4/13/2023	4/21/2023	8
BSFfrass	D1	1	4/13/2023	4/18/2023	5
BSFfrass	D2	2	4/13/2023	4/18/2023	5
BSFfrass	D3	3	4/13/2023	4/18/2023	5
BSFfrass	D4	4	4/13/2023	4/19/2023	6
BSFfrass	D5	5	4/13/2023	4/18/2023	5
BSFfrass	D6	6	4/13/2023	4/18/2023	5
BSFfrass	D7	7	4/13/2023	4/18/2023	5
BSFfrass	D8	8	4/13/2023	4/18/2023	5
BSFfrass	D9	9	4/13/2023	4/18/2023	5
BSFfrass	D10	10	4/13/2023	4/18/2023	5
BSFfrass	D11	11	4/13/2023	4/18/2023	5
BSFfrass	D12	12	4/13/2023	4/19/2023	6
BSFfrass	D13	13	4/13/2023	4/21/2023	8
BSFfrass	D14	14	4/13/2023	4/20/2023	7
BSFfrass	D15	15	4/13/2023	4/17/2023	4
BSFfrass	D17	16	4/13/2023	4/18/2023	5
BSFfrass	D18	17	4/13/2023	4/18/2023	5
BSFfrass	D19	18	4/13/2023	4/18/2023	5
BSFfrass	D20	19	4/13/2023	4/18/2023	5
BSFfrass	D21	20	4/13/2023	4/18/2023	5
BSFfrass	D22	21	4/13/2023	4/18/2023	5
BSFfrass	D23	22	4/13/2023	4/19/2023	6
BSFfrass	D24	23	4/13/2023	4/19/2023	6
BSFfrass	D25	24	4/13/2023	4/18/2023	5
BSFfrass	D26	25	4/13/2023	4/18/2023	5
BSFfrass	D27	26	4/13/2023	4/18/2023	5
BSFfrass	D28	27	4/13/2023	4/18/2023	5
BSFfrass	D30	28	4/13/2023	4/21/2023	8
BSFfrass	E1	1	4/13/2023	4/20/2023	7
BSFfrass	E2	2	4/13/2023	4/19/2023	6
BSFfrass	E3	3	4/13/2023	4/18/2023	5
